brand_name,peta,leaping_bunny,parent_company,parent_status,notes
Glacial Bay Organic Clay,FALSE,TRUE,,unknown,
Glad,TRUE,FALSE,Clorox,gray,Clorox parent; Burt's Bees CF status debated
Glade,TRUE,FALSE,S.C. Johnson,ok,
GladGirl,TRUE,FALSE,,unknown,
GLAM 35,TRUE,FALSE,,unknown,
Glam and Glits,TRUE,FALSE,,unknown,
Glam Factor,TRUE,FALSE,Empresas DBS,ok,
Glam Nails,TRUE,FALSE,,unknown,
Glam Nation,TRUE,FALSE,,unknown,
Glam Rock Nails,TRUE,FALSE,,unknown,
Glamazon Beauty,FALSE,TRUE,,unknown,
Glamlite,TRUE,TRUE,,unknown,
GLAMNETIC,FALSE,TRUE,,unknown,
GlamOriginal,TRUE,FALSE,,unknown,
Glamour Dolls,TRUE,FALSE,,unknown,
GLAMRDIP,TRUE,FALSE,,unknown,
Glamsquad,TRUE,FALSE,,unknown,
Glaze,TRUE,FALSE,,unknown,
Gleam,FALSE,TRUE,,unknown,
Gleami Cosmetic,TRUE,FALSE,,unknown,
Gleamin Inc.,TRUE,TRUE,,unknown,
Gleer,TRUE,FALSE,,unknown,
Glimmer Wish,TRUE,TRUE,,unknown,
Gliss,TRUE,FALSE,Henkel,bad,Henkel sells in China
Glisten Cosmetics,TRUE,FALSE,,unknown,
Glitter Moose,TRUE,FALSE,,unknown,
Glitterized Life,TRUE,FALSE,,unknown,
Glixi,FALSE,TRUE,,unknown,
Glo Skin Beauty,TRUE,FALSE,,unknown,
Global Beauty Care,TRUE,FALSE,,unknown,
Glocurl,TRUE,FALSE,,unknown,
Glorietta,TRUE,FALSE,,unknown,
Glossier,TRUE,TRUE,,unknown,
"Glosslab, LLC",FALSE,TRUE,,unknown,
Glossmetics,TRUE,FALSE,,unknown,
GLOV,TRUE,FALSE,,unknown,
Glow Better,TRUE,FALSE,,unknown,
Glow Ceuticals,TRUE,FALSE,,unknown,
Glow Jar Beauty,FALSE,TRUE,,unknown,
Glow Monster,TRUE,FALSE,,unknown,
Glow Mood,TRUE,FALSE,,unknown,
Glow Natural Wellness,FALSE,TRUE,,unknown,
Glow on 5th,TRUE,FALSE,,unknown,
Glow Recipe,TRUE,TRUE,,unknown,
Glow Train Skincare,TRUE,FALSE,,unknown,
Glow Vibes,TRUE,FALSE,,unknown,
glowb,TRUE,FALSE,,unknown,
Glowell,FALSE,TRUE,,unknown,
Glowelle Skin,TRUE,FALSE,,unknown,
Glowinc Potion,TRUE,FALSE,Royal Pesona Indonesia,ok,
Glowing Orchid Organics,FALSE,TRUE,,unknown,
Glowlab,TRUE,FALSE,,unknown,
Glowlixir,TRUE,FALSE,,unknown,
glowoasis,TRUE,FALSE,,unknown,
Glowtone,TRUE,FALSE,"Lifestyle Brand Partners, LLC",ok,
Glowy Kozmetik,TRUE,FALSE,,unknown,
GLYDE Health,TRUE,FALSE,,unknown,
GlyMed Plus,TRUE,FALSE,,unknown,
GND Company,TRUE,FALSE,,unknown,
Gntl,FALSE,TRUE,,unknown,
Go Red Cosmetics,FALSE,TRUE,,unknown,
GO SMILE,TRUE,FALSE,,unknown,
Go-To Skincare,TRUE,FALSE,,unknown,
Goatboy Soaps,TRUE,FALSE,,unknown,
Godefroy,TRUE,FALSE,Innovative Beauty Products,ok,
GoEcoVita,TRUE,FALSE,,unknown,
Gojo,TRUE,FALSE,,unknown,
Golconda,TRUE,FALSE,,unknown,
Gold Haircare,TRUE,FALSE,,unknown,
Gold-D,TRUE,FALSE,,unknown,
Goldee Bee,TRUE,FALSE,,unknown,
Golden Door,TRUE,FALSE,,unknown,
Golden Hour Botanicals,FALSE,TRUE,,unknown,
Golden Rose,TRUE,FALSE,,unknown,
Goldfaden MD,TRUE,FALSE,,unknown,
Goldie Locks,FALSE,TRUE,,unknown,
Goldie Lux Skin,FALSE,TRUE,,unknown,
Goldn beauty LLC,FALSE,TRUE,,unknown,
Goldwell Dualsenses,TRUE,FALSE,Kao Germany,bad,Kao Corp sells in China
Goldwin Products,TRUE,FALSE,,unknown,
Goli Nutrition,TRUE,FALSE,,unknown,
Good + Daily,FALSE,TRUE,,unknown,
Good Alchemy,FALSE,TRUE,,unknown,
Good Chemistry,TRUE,FALSE,Illume,ok,
Good Dye Young,TRUE,TRUE,,unknown,
Good Feeling Products,TRUE,FALSE,,unknown,
Good Flower Farm,FALSE,TRUE,,unknown,
Good For You Girls,FALSE,TRUE,,unknown,
Good Girl | Good Boy,TRUE,FALSE,,unknown,
Good Hands Beauty,TRUE,FALSE,,unknown,
Good Juju Body & Home,FALSE,TRUE,,unknown,
Good Life Solutions,FALSE,TRUE,,unknown,
good light,FALSE,TRUE,,unknown,
Good Medicine Beauty Lab,FALSE,TRUE,,unknown,
Good Molecules,FALSE,TRUE,,unknown,
Good Organics,FALSE,TRUE,,unknown,
Good Stems,TRUE,FALSE,,unknown,
Good Stuff Co,TRUE,FALSE,,unknown,
Good Weather Skin,FALSE,TRUE,,unknown,
Good Weird,FALSE,TRUE,,unknown,
